date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-24,4030.0,369.0,653,-49.0,-8.0,98.0,-47.0,-49.0,17.0
2020-06-25,3850.0,325.0,1118,-49.0,-6.0,102.0,-47.0,-49.0,17.0
2020-06-26,3620.0,339.0,1006,-51.0,-9.0,50.0,-48.0,-49.0,18.0
2020-06-27,3544.0,287.0,890,-59.0,-15.0,-7.0,-49.0,-24.0,11.0
2020-06-28,3557.0,208.0,901,-56.0,-19.0,22.0,-46.0,-17.0,8.0
2020-06-29,3748.0,221.0,815,-45.0,-14.0,22.0,-50.0,-49.0,17.0
2020-06-30,3383.0,296.0,689,-45.0,-12.0,34.0,-50.0,-48.0,17.0
2020-07-01,3198.0,269.0,829,-47.0,-13.0,34.0,-49.0,-48.0,17.0
2020-07-02,3079.0,217.0,576,-47.0,-11.0,39.0,-49.0,-48.0,17.0
2020-07-03,2942.0,214.0,544,-49.0,-12.0,20.0,-49.0,-47.0,18.0
2020-07-04,2802.0,203.0,624,-51.0,-15.0,13.0,-41.0,-18.0,8.0
2020-07-05,2741.0,196.0,516,-48.0,-18.0,53.0,-37.0,-14.0,6.0
2020-07-06,2699.0,205.0,343,-36.0,-11.0,76.0,-43.0,-48.0,14.0
2020-07-07,2598.0,215.0,581,-40.0,-12.0,52.0,-45.0,-48.0,16.0
2020-07-08,2454.0,208.0,630,-42.0,-14.0,29.0,-47.0,-47.0,16.0
2020-07-09,2345.0,215.0,642,-42.0,-12.0,38.0,-46.0,-47.0,16.0
2020-07-10,2244.0,175.0,512,-41.0,-10.0,67.0,-40.0,-46.0,14.0
2020-07-11,2119.0,177.0,820,-47.0,-12.0,69.0,-32.0,-14.0,6.0
2020-07-12,2101.0,114.0,650,-43.0,-15.0,103.0,-27.0,-10.0,3.0
2020-07-13,2113.0,189.0,530,-35.0,-11.0,71.0,-42.0,-48.0,14.0
2020-07-14,1993.0,187.0,398,-36.0,-11.0,73.0,-43.0,-48.0,15.0
2020-07-15,1974.0,166.0,538,-33.0,-13.0,52.0,-47.0,-46.0,15.0
2020-07-16,1829.0,167.0,642,-31.0,-10.0,85.0,-45.0,-45.0,14.0
2020-07-17,1804.0,144.0,687,-33.0,-10.0,93.0,-41.0,-44.0,13.0
2020-07-18,1776.0,105.0,827,-40.0,-13.0,61.0,-35.0,-14.0,5.0
2020-07-19,1742.0,126.0,726,-35.0,-16.0,78.0,-32.0,-10.0,3.0
2020-07-20,1734.0,131.0,557,-25.0,-9.0,114.0,-42.0,-48.0,13.0
2020-07-21,1634.0,127.0,445,-28.0,-10.0,116.0,-43.0,-48.0,13.0
2020-07-22,1747.0,158.0,560,-29.0,-11.0,89.0,-44.0,-46.0,14.0
2020-07-23,1538.0,200.0,769,-30.0,-9.0,81.0,-45.0,-47.0,14.0
2020-07-24,1453.0,158.0,768,-32.0,-12.0,95.0,-40.0,-46.0,13.0
2020-07-25,1401.0,119.0,767,-40.0,-16.0,25.0,-37.0,-15.0,6.0
2020-07-26,1383.0,109.0,745,-33.0,-17.0,78.0,-30.0,-9.0,3.0
2020-07-27,1370.0,130.0,685,-29.0,-14.0,40.0,-46.0,-51.0,14.0
2020-07-28,1369.0,119.0,581,-26.0,-10.0,100.0,-42.0,-48.0,14.0
2020-07-29,1350.0,133.0,763,-25.0,-10.0,107.0,-41.0,-48.0,13.0
