areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-03-05,10312,599,5947,437463,56772
K02000001,United Kingdom,overview,2021-03-04,10933,704,6573,376244,70206
K02000001,United Kingdom,overview,2021-03-03,11523,713,6385,278956,68450
K02000001,United Kingdom,overview,2021-03-02,12139,834,6391,224996,51314
K02000001,United Kingdom,overview,2021-03-01,12894,821,5455,203168,28282
K02000001,United Kingdom,overview,2021-02-28,12788,769,6035,185900,19684
K02000001,United Kingdom,overview,2021-02-27,13269,741,7434,407503,27322
K02000001,United Kingdom,overview,2021-02-26,14077,863,8523,504493,32773
K02000001,United Kingdom,overview,2021-02-25,14849,968,9985,485720,35319
K02000001,United Kingdom,overview,2021-02-24,15534,1020,9938,448962,31613
K02000001,United Kingdom,overview,2021-02-23,16115,1119,8489,326692,26317
K02000001,United Kingdom,overview,2021-02-22,16855,1119,10641,192341,18463
K02000001,United Kingdom,overview,2021-02-21,16857,1155,9834,141719,9177
K02000001,United Kingdom,overview,2021-02-20,17042,1087,10406,334679,10263
K02000001,United Kingdom,overview,2021-02-19,17860,1271,12027,371906,15294
K02000001,United Kingdom,overview,2021-02-18,18522,1336,12057,452454,15867
K02000001,United Kingdom,overview,2021-02-17,19449,1409,12718,482110,15147
K02000001,United Kingdom,overview,2021-02-16,20215,1492,10625,364865,12412
K02000001,United Kingdom,overview,2021-02-15,20994,1501,9765,275956,6535
K02000001,United Kingdom,overview,2021-02-14,21054,1534,10972,237962,1915
K02000001,United Kingdom,overview,2021-02-13,20970,1426,13308,505362,2846
K02000001,United Kingdom,overview,2021-02-12,22324,1507,15144,544603,4775
K02000001,United Kingdom,overview,2021-02-11,23411,1678,13494,503116,5647
K02000001,United Kingdom,overview,2021-02-10,24417,1725,13013,450810,4894
K02000001,United Kingdom,overview,2021-02-09,25689,1754,12364,411812,3161
K02000001,United Kingdom,overview,2021-02-08,26744,1920,14104,352480,3811
K02000001,United Kingdom,overview,2021-02-07,26801,1847,15845,278988,862
K02000001,United Kingdom,overview,2021-02-06,26915,1891,18262,549808,1662
K02000001,United Kingdom,overview,2021-02-05,28384,2005,19114,494163,4064
K02000001,United Kingdom,overview,2021-02-04,29414,2142,20634,480560,4036
K02000001,United Kingdom,overview,2021-02-03,30605,2358,19202,469016,2995
K02000001,United Kingdom,overview,2021-02-02,31767,2481,16840,374756,2166
K02000001,United Kingdom,overview,2021-02-01,32961,2599,18607,350348,2587
K02000001,United Kingdom,overview,2021-01-31,32587,2403,21088,319038,3156
K02000001,United Kingdom,overview,2021-01-30,33015,2472,23275,598389,10621
K02000001,United Kingdom,overview,2021-01-29,33847,2685,29079,487756,2178
K02000001,United Kingdom,overview,2021-01-28,34909,3042,28680,414419,1769
K02000001,United Kingdom,overview,2021-01-27,35513,3057,25308,312378,2329
K02000001,United Kingdom,overview,2021-01-26,37101,3147,20089,311060,1710
K02000001,United Kingdom,overview,2021-01-25,37756,2930,22195,279757,1968
K02000001,United Kingdom,overview,2021-01-24,37730,3109,30004,220249,818
K02000001,United Kingdom,overview,2021-01-23,37398,3112,33552,491970,1043
K02000001,United Kingdom,overview,2021-01-22,38257,3391,40261,478248,1821
K02000001,United Kingdom,overview,2021-01-21,38059,3633,37892,409855,2760
K02000001,United Kingdom,overview,2021-01-20,38739,4043,38905,363508,3411
K02000001,United Kingdom,overview,2021-01-19,38846,4160,33355,343163,3759
K02000001,United Kingdom,overview,2021-01-18,39254,4062,37535,204076,4565
K02000001,United Kingdom,overview,2021-01-17,38169,3748,38598,190107,2239
K02000001,United Kingdom,overview,2021-01-16,37715,3938,41346,296131,2620
K02000001,United Kingdom,overview,2021-01-15,38132,3677,55761,341317,4208
K02000001,United Kingdom,overview,2021-01-14,37691,4100,48682,316694,5257
K02000001,United Kingdom,overview,2021-01-13,37487,4222,47525,278943,9745
K02000001,United Kingdom,overview,2021-01-12,36981,4579,45533,207661,16065
K02000001,United Kingdom,overview,2021-01-11,36751,4309,46169,145076,20768
K02000001,United Kingdom,overview,2021-01-10,35391,3933,54940,,
K02000001,United Kingdom,overview,2021-01-09,34032,4126,59937,,
K02000001,United Kingdom,overview,2021-01-08,33778,3998,68053,,
K02000001,United Kingdom,overview,2021-01-07,32583,4292,52618,,
K02000001,United Kingdom,overview,2021-01-06,31946,4392,62322,,
K02000001,United Kingdom,overview,2021-01-05,30686,4116,60916,,
K02000001,United Kingdom,overview,2021-01-04,30775,3936,58784,,
K02000001,United Kingdom,overview,2021-01-03,29033,3648,54990,,
K02000001,United Kingdom,overview,2021-01-02,27561,3439,57725,,
K02000001,United Kingdom,overview,2021-01-01,26389,3368,53285,,
K02000001,United Kingdom,overview,2020-12-31,26578,2915,55892,,
K02000001,United Kingdom,overview,2020-12-30,26551,3288,50023,,
K02000001,United Kingdom,overview,2020-12-29,25549,3249,53135,,
K02000001,United Kingdom,overview,2020-12-28,24049,3133,41385,,
K02000001,United Kingdom,overview,2020-12-27,22764,2870,30501,,
K02000001,United Kingdom,overview,2020-12-26,21730,2530,35691,,
K02000001,United Kingdom,overview,2020-12-25,20918,2182,32725,,
K02000001,United Kingdom,overview,2020-12-24,21577,2082,39877,,
K02000001,United Kingdom,overview,2020-12-23,21222,2273,39237,,
K02000001,United Kingdom,overview,2020-12-22,21488,2479,36804,,
K02000001,United Kingdom,overview,2020-12-21,21133,2367,33364,,
K02000001,United Kingdom,overview,2020-12-20,20004,2168,35928,,
K02000001,United Kingdom,overview,2020-12-19,19463,2044,27052,,
